,order,num_trees,repetition,assignment,hidden_dim,layers,accuracy
696,64,4,2,3,64,3,1.0
697,64,4,2,3,128,3,1.0
698,64,4,2,3,256,3,1.0
699,64,4,2,3,512,3,1.0
700,64,4,3,0,32,3,1.0
701,64,4,3,0,64,3,1.0
702,64,4,3,0,128,3,1.0
703,64,4,3,0,256,3,1.0
704,64,4,3,0,512,3,1.0
705,64,4,3,1,32,3,1.0
706,64,4,3,1,64,3,1.0
707,64,4,3,1,128,3,1.0
708,64,4,3,1,256,3,1.0
709,64,4,3,1,512,3,1.0
710,64,4,3,2,32,3,1.0
711,64,4,3,2,64,3,1.0
712,64,4,3,2,128,3,1.0
713,64,4,3,2,256,3,1.0
714,64,4,3,2,512,3,1.0
715,64,4,3,3,32,3,1.0
716,64,4,3,3,64,3,1.0
717,64,4,3,3,128,3,1.0
718,64,4,3,3,256,3,1.0
719,64,4,3,3,512,3,1.0
720,64,8,0,0,32,3,1.0
721,64,8,0,0,64,3,1.0
722,64,8,0,0,128,3,1.0
723,64,8,0,0,256,3,1.0
724,64,8,0,0,512,3,1.0
725,64,8,0,1,32,3,1.0
726,64,8,0,1,64,3,1.0
727,64,8,0,1,128,3,1.0
728,64,8,0,1,256,3,1.0
729,64,8,0,1,512,3,1.0
730,64,8,0,2,32,3,1.0
731,64,8,0,2,64,3,1.0
732,64,8,0,2,128,3,1.0
733,64,8,0,2,256,3,1.0
734,64,8,0,2,512,3,1.0
735,64,8,0,3,32,3,1.0
736,64,8,0,3,64,3,1.0
737,64,8,0,3,128,3,1.0
738,64,8,0,3,256,3,1.0
739,64,8,0,3,512,3,1.0
740,64,8,1,0,32,3,0.75
741,64,8,1,0,64,3,1.0
742,64,8,1,0,128,3,1.0
743,64,8,1,0,256,3,1.0
744,64,8,1,0,512,3,1.0
745,64,8,1,1,32,3,1.0
746,64,8,1,1,64,3,1.0
747,64,8,1,1,128,3,1.0
748,64,8,1,1,256,3,1.0
749,64,8,1,1,512,3,1.0
750,64,8,1,2,32,3,1.0
751,64,8,1,2,64,3,1.0
752,64,8,1,2,128,3,1.0
753,64,8,1,2,256,3,1.0
754,64,8,1,2,512,3,1.0
755,64,8,1,3,32,3,0.75
756,64,8,1,3,64,3,0.875
757,64,8,1,3,128,3,0.875
758,64,8,1,3,256,3,1.0
759,64,8,1,3,512,3,1.0
760,64,8,2,0,32,3,1.0
761,64,8,2,0,64,3,1.0
